epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.7396,0.58024,0.75964,1,0.67846,0.000549129,0.000549129,0.000549129
2,127.213,0.33798,0.80119,1,0.49977,0.00108292,0.00108292,0.00108292
3,187.946,0.29815,0.97923,1,0.10071,0.00159471,0.00159471,0.00159471
4,248.871,0.30295,0.97626,1,0.06572,0.00156798,0.00156798,0.00156798
5,309.76,0.26822,0.96736,1,0.08046,0.00153497,0.00153497,0.00153497
6,369.76,0.26529,0.97923,1,0.09122,0.00150197,0.00150197,0.00150197
7,429.305,0.23656,0.98516,1,0.06506,0.00146896,0.00146896,0.00146896
8,489.129,0.21036,0.9822,1,0.07491,0.00143595,0.00143595,0.00143595
9,546.466,0.22108,0.9822,1,0.07024,0.00140295,0.00140295,0.00140295
10,604.618,0.22167,0.97923,1,0.05245,0.00136994,0.00136994,0.00136994
11,662.841,0.21355,0.98516,1,0.05977,0.00133693,0.00133693,0.00133693
12,721.647,0.23283,0.98813,1,0.03643,0.00130393,0.00130393,0.00130393
13,780.451,0.20682,0.98516,1,0.04312,0.00127092,0.00127092,0.00127092
14,839.95,0.20405,0.98813,1,0.02846,0.00123791,0.00123791,0.00123791
15,898.957,0.1822,0.98813,1,0.0537,0.00120491,0.00120491,0.00120491
16,959.47,0.17096,0.97923,1,0.04645,0.0011719,0.0011719,0.0011719
17,1017.27,0.16979,0.98516,1,0.04021,0.00113889,0.00113889,0.00113889
18,1074.43,0.17674,0.98813,1,0.05067,0.00110589,0.00110589,0.00110589
19,1133.42,0.17223,0.97626,1,0.05646,0.00107288,0.00107288,0.00107288
20,1192.68,0.1739,0.9911,1,0.03249,0.00103987,0.00103987,0.00103987
21,1253.07,0.16305,0.98516,1,0.05364,0.00100687,0.00100687,0.00100687
22,1311.08,0.16683,0.9911,1,0.08723,0.000973861,0.000973861,0.000973861
23,1369.46,0.17027,0.98813,1,0.04491,0.000940855,0.000940855,0.000940855
24,1427.38,0.15336,0.98516,1,0.04326,0.000907848,0.000907848,0.000907848
25,1484.75,0.13139,0.98516,1,0.04699,0.000874842,0.000874842,0.000874842
26,1543.17,0.14145,0.98813,1,0.04739,0.000841835,0.000841835,0.000841835
27,1601.6,0.13872,0.98516,1,0.05902,0.000808828,0.000808828,0.000808828
28,1661.39,0.12873,0.9822,1,0.04955,0.000775822,0.000775822,0.000775822
29,1719.86,0.13551,0.97923,1,0.07179,0.000742815,0.000742815,0.000742815
30,1778.54,0.1236,0.98813,1,0.03532,0.000709809,0.000709809,0.000709809
