epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,320.594,2.55542,2.09272,0.00573,0.66047,0.52073,0.55074,0.20888,2.22,1.45755,0.00451,0.000199303,0.000199303,0.080269
2,579.215,2.40305,1.5095,0.00539,0.67086,0.58951,0.62049,0.21947,2.24748,2.17205,0.00436,0.00039926,0.00039926,0.0604689
3,793.375,2.40752,1.41741,0.00542,0.7331,0.60615,0.64296,0.20613,2.4026,1.35681,0.00502,0.000599043,0.000599043,0.0406687
4,998.012,2.38946,1.43529,0.00537,0.64655,0.58154,0.60363,0.22357,2.3555,1.44953,0.00486,0.000798522,0.000798522,0.0208682
5,1232.01,2.33966,1.37754,0.00506,0.72559,0.70784,0.71525,0.28833,2.17771,1.05364,0.00418,0.000997568,0.000997568,0.00106725
6,1456,2.33118,1.38984,0.00502,0.73342,0.71692,0.7465,0.29286,2.16724,1.04577,0.00425,0.000997288,0.000997288,0.000997288
7,1661.6,2.30418,1.34497,0.00517,0.66075,0.66154,0.6497,0.25543,2.17747,1.25962,0.00423,0.000996097,0.000996097,0.000996097
8,1873.45,2.29913,1.32218,0.00504,0.76134,0.72,0.75813,0.30383,2.1083,1.03853,0.00415,0.00099469,0.00099469,0.00099469
9,2104.51,2.2892,1.26554,0.00506,0.75993,0.6136,0.71945,0.28054,2.20801,1.12572,0.00427,0.000993068,0.000993068,0.000993068
10,2308.67,2.29334,1.27591,0.00487,0.77587,0.74462,0.78122,0.30471,2.12851,1.0331,0.00422,0.000991232,0.000991232,0.000991232
11,2520.87,2.2735,1.20727,0.00487,0.75188,0.68923,0.74034,0.30668,2.10553,1.09503,0.00411,0.000989183,0.000989183,0.000989183
12,2727.07,2.23534,1.20942,0.00484,0.78582,0.67385,0.74839,0.30015,2.22139,1.05161,0.00422,0.000986922,0.000986922,0.000986922
